id,category,rank,english,korean,example,datasetVersion,sourceType
37,Conversation Chunk,37,Do you want to...?,~할래?,Do you want to grab some coffee?,2.0,curated-speaking-core
38,Conversation Chunk,38,Would you like to...?,~하시겠어요?,Would you like to join us?,2.0,curated-speaking-core
39,Conversation Chunk,39,Can I...?,내가 ~해도 돼?,Can I ask you something?,2.0,curated-speaking-core
40,Conversation Chunk,40,Can you...?,~해줄 수 있어?,Can you check this?,2.0,curated-speaking-core
41,Conversation Chunk,41,Could you...?,~해주시겠어요?,Could you send it again?,2.0,curated-speaking-core
42,Conversation Chunk,42,How about...?,~어때?,How about tomorrow morning?,2.0,curated-speaking-core
43,Conversation Chunk,43,What about...?,~은 어때?,What about this option?,2.0,curated-speaking-core
44,Conversation Chunk,44,Why don't we...?,우리 ~하는 게 어때?,Why don't we try again?,2.0,curated-speaking-core
45,Conversation Chunk,45,Let me know.,알려줘.,Let me know if anything changes.,2.0,curated-speaking-core
46,Conversation Chunk,46,No problem.,문제없어.,No problem. I can do that.,2.0,curated-speaking-core
47,Conversation Chunk,47,That's okay.,괜찮아.,That's okay. Don't worry about it.,2.0,curated-speaking-core
48,Conversation Chunk,48,Of course.,물론이지.,Of course. I'll help you.,2.0,curated-speaking-core
49,Conversation Chunk,49,Probably.,아마.,It'll probably be fine.,2.0,curated-speaking-core
50,Conversation Chunk,50,Maybe.,아마도.,Maybe we should wait.,2.0,curated-speaking-core
51,Conversation Chunk,51,I guess so.,그런 것 같아.,I guess so. Let's see.,2.0,curated-speaking-core
52,Conversation Chunk,52,I hope so.,그러길 바라.,I hope so too.,2.0,curated-speaking-core
53,Conversation Chunk,53,I hope not.,아니길 바라.,I hope not. That would be bad.,2.0,curated-speaking-core
54,Conversation Chunk,54,Why not?,왜 안 돼? / 좋지.,Why not? Let's go.,2.0,curated-speaking-core
55,Conversation Chunk,55,That's true.,그건 맞아.,"That's true, but we still need to check.",2.0,curated-speaking-core
56,Conversation Chunk,56,Exactly.,"맞아, 바로 그거야.",Exactly. That's the point.,2.0,curated-speaking-core
57,Conversation Chunk,57,Absolutely.,물론이지 / 완전히 동의해.,Absolutely. I agree.,2.0,curated-speaking-core
58,Conversation Chunk,58,Definitely.,확실히.,I'll definitely check it.,2.0,curated-speaking-core
59,Conversation Chunk,59,Not exactly.,꼭 그렇진 않아.,Not exactly. There's one difference.,2.0,curated-speaking-core
60,Conversation Chunk,60,Not yet.,아직 아니야.,Not yet. I'm still working on it.,2.0,curated-speaking-core
61,Conversation Chunk,61,Not anymore.,이제는 아니야.,I don't use it anymore.,2.0,curated-speaking-core
62,Conversation Chunk,62,Not at all.,전혀 아니야 / 천만에.,Not at all. Happy to help.,2.0,curated-speaking-core
63,Conversation Chunk,63,"So far, so good.",지금까지는 괜찮아.,"So far, so good. No issues yet.",2.0,curated-speaking-core
64,Conversation Chunk,64,That's enough.,그 정도면 됐어.,That's enough for today.,2.0,curated-speaking-core
65,Conversation Chunk,65,That's all.,그게 전부야.,That's all I wanted to say.,2.0,curated-speaking-core
66,Conversation Chunk,66,That's it.,그게 다야 / 바로 그거야.,That's it. We're done.,2.0,curated-speaking-core
67,Conversation Chunk,67,Here you go.,여기 있어.,Here you go. This is the file.,2.0,curated-speaking-core
68,Conversation Chunk,68,There you go.,"됐어 / 자, 여기.",There you go. It's fixed.,2.0,curated-speaking-core
69,Conversation Chunk,69,Here we go.,"자, 시작하자.",Here we go. Let's begin.,2.0,curated-speaking-core
70,Conversation Chunk,70,There we go.,됐네.,There we go. Now it works.,2.0,curated-speaking-core
71,Conversation Chunk,71,Come on.,에이 / 어서.,Come on. We can do this.,2.0,curated-speaking-core
72,Conversation Chunk,72,Take your time.,천천히 해.,Take your time. No rush.,2.0,curated-speaking-core
73,Conversation Chunk,73,Take care.,잘 지내 / 몸조심해.,Take care. See you next week.,2.0,curated-speaking-core
74,Conversation Chunk,74,See you around.,또 보자.,See you around.,2.0,curated-speaking-core
75,Conversation Chunk,75,See you then.,그때 보자.,See you then at three.,2.0,curated-speaking-core
76,Conversation Chunk,76,Talk to you later.,나중에 얘기하자.,Talk to you later.,2.0,curated-speaking-core
77,Conversation Chunk,77,Have a good one.,좋은 하루 보내.,Have a good one.,2.0,curated-speaking-core
78,Conversation Chunk,78,Good for you.,잘됐네.,Good for you. That's great news.,2.0,curated-speaking-core
79,Conversation Chunk,79,Lucky you.,좋겠다.,Lucky you. I wish I could go.,2.0,curated-speaking-core
80,Conversation Chunk,80,My bad.,내 실수야.,My bad. I sent the wrong file.,2.0,curated-speaking-core
81,Conversation Chunk,81,Never mind.,신경 쓰지 마 / 됐어.,Never mind. I found it.,2.0,curated-speaking-core
82,Conversation Chunk,82,Forget it.,됐어 / 신경 쓰지 마.,Forget it. It's not important.,2.0,curated-speaking-core
83,Conversation Chunk,83,No worries.,걱정 마.,No worries. It's fine.,2.0,curated-speaking-core
84,Conversation Chunk,84,It doesn't matter.,상관없어.,It doesn't matter which one you choose.,2.0,curated-speaking-core
85,Conversation Chunk,85,It works for me.,난 괜찮아.,Three o'clock works for me.,2.0,curated-speaking-core
86,Conversation Chunk,86,Works for me.,난 좋아.,Works for me. See you then.,2.0,curated-speaking-core
87,Conversation Chunk,87,I'm good.,난 괜찮아.,"No thanks, I'm good.",2.0,curated-speaking-core
88,Conversation Chunk,88,I'm all set.,난 준비됐어 / 필요한 거 다 됐어.,I'm all set. We can start.,2.0,curated-speaking-core
89,Conversation Chunk,89,I'm ready.,준비됐어.,I'm ready when you are.,2.0,curated-speaking-core
90,Conversation Chunk,90,I'm on my way.,가는 중이야.,I'm on my way. I'll be there soon.,2.0,curated-speaking-core
91,Conversation Chunk,91,I'm almost there.,거의 다 왔어.,I'm almost there.,2.0,curated-speaking-core
92,Conversation Chunk,92,I'm running late.,늦고 있어.,"Sorry, I'm running late.",2.0,curated-speaking-core
93,Conversation Chunk,93,I'm in a hurry.,급해.,I'm in a hurry right now.,2.0,curated-speaking-core
94,Conversation Chunk,94,I'm busy right now.,지금 바빠.,I'm busy right now. Can I call you later?,2.0,curated-speaking-core
95,Conversation Chunk,95,I'm free now.,지금 시간 돼.,I'm free now if you want to talk.,2.0,curated-speaking-core
96,Conversation Chunk,96,I'm tired.,피곤해.,I'm tired. I need some rest.,2.0,curated-speaking-core
97,Conversation Chunk,97,I'm exhausted.,완전 지쳤어.,I'm exhausted after work.,2.0,curated-speaking-core
98,Conversation Chunk,98,I'm hungry.,배고파.,I'm hungry. Let's get something to eat.,2.0,curated-speaking-core
99,Conversation Chunk,99,I'm thirsty.,목말라.,I'm thirsty. I need some water.,2.0,curated-speaking-core
100,Conversation Chunk,100,I'm full.,배불러.,I'm full. I can't eat anymore.,2.0,curated-speaking-core
101,Conversation Chunk,101,I'm bored.,심심해.,I'm bored. Let's go out.,2.0,curated-speaking-core
102,Conversation Chunk,102,I'm excited.,기대돼.,I'm excited about the trip.,2.0,curated-speaking-core
103,Conversation Chunk,103,I'm nervous.,긴장돼.,I'm nervous about the interview.,2.0,curated-speaking-core
104,Conversation Chunk,104,I'm worried.,걱정돼.,I'm worried about the deadline.,2.0,curated-speaking-core
105,Conversation Chunk,105,I'm confused.,헷갈려.,I'm confused about this part.,2.0,curated-speaking-core
106,Conversation Chunk,106,I'm surprised.,놀랐어.,I'm surprised it worked.,2.0,curated-speaking-core
107,Conversation Chunk,107,I'm sorry.,미안해.,I'm sorry I'm late.,2.0,curated-speaking-core
108,Conversation Chunk,108,I'm glad.,기뻐.,I'm glad you came.,2.0,curated-speaking-core
109,Conversation Chunk,109,I'm happy to hear that.,그 말 들으니 좋다.,I'm happy to hear that.,2.0,curated-speaking-core
110,Conversation Chunk,110,I'm sorry to hear that.,그 말 들으니 안타깝다.,I'm sorry to hear that.,2.0,curated-speaking-core
111,Conversation Chunk,111,That's too bad.,안됐네.,That's too bad. Maybe next time.,2.0,curated-speaking-core
112,Conversation Chunk,112,What happened?,무슨 일이 있었어?,What happened to the server?,2.0,curated-speaking-core
113,Conversation Chunk,113,What's wrong?,무슨 일이야?,What's wrong? You look tired.,2.0,curated-speaking-core
114,Conversation Chunk,114,What's going on?,무슨 일이야?,What's going on here?,2.0,curated-speaking-core
115,Conversation Chunk,115,How's it going?,어떻게 지내?,How's it going these days?,2.0,curated-speaking-core
116,Conversation Chunk,116,How are things?,요즘 어때?,How are things at work?,2.0,curated-speaking-core
117,Conversation Chunk,117,How have you been?,그동안 잘 지냈어?,How have you been lately?,2.0,curated-speaking-core
118,Conversation Chunk,118,What have you been up to?,요즘 뭐 하고 지냈어?,What have you been up to?,2.0,curated-speaking-core
119,Conversation Chunk,119,What are you doing?,뭐 하고 있어?,What are you doing right now?,2.0,curated-speaking-core
120,Conversation Chunk,120,What are you up to?,뭐 하는 중이야?,What are you up to this weekend?,2.0,curated-speaking-core
121,Conversation Chunk,121,What do you think?,어떻게 생각해?,What do you think about this idea?,2.0,curated-speaking-core
122,Conversation Chunk,122,How do you feel about it?,그거 어떻게 생각해?,How do you feel about the change?,2.0,curated-speaking-core
123,Conversation Chunk,123,What do you want to do?,뭐 하고 싶어?,What do you want to do today?,2.0,curated-speaking-core
124,Conversation Chunk,124,What should we do?,우리 뭐 해야 하지?,What should we do next?,2.0,curated-speaking-core
125,Conversation Chunk,125,What can we do?,우리가 뭘 할 수 있지?,What can we do about it?,2.0,curated-speaking-core
126,Conversation Chunk,126,What do you need?,뭐 필요해?,What do you need from me?,2.0,curated-speaking-core
127,Conversation Chunk,127,What do you want?,뭐 원해?,What do you want for lunch?,2.0,curated-speaking-core
128,Conversation Chunk,128,Which one do you prefer?,어느 쪽을 더 선호해?,Which one do you prefer?,2.0,curated-speaking-core
129,Conversation Chunk,129,Which one is better?,어느 게 더 나아?,Which one is better for you?,2.0,curated-speaking-core
130,Conversation Chunk,130,Are you sure?,확실해?,Are you sure that's correct?,2.0,curated-speaking-core
131,Conversation Chunk,131,Are you okay?,괜찮아?,Are you okay? You look tired.,2.0,curated-speaking-core
132,Conversation Chunk,132,Are you ready?,준비됐어?,Are you ready to start?,2.0,curated-speaking-core
133,Conversation Chunk,133,Are you serious?,진짜야?,Are you serious right now?,2.0,curated-speaking-core
134,Conversation Chunk,134,Really?,정말?,Really? I didn't know that.,2.0,curated-speaking-core
135,Conversation Chunk,135,Seriously?,진짜로?,Seriously? That's surprising.,2.0,curated-speaking-core
136,Conversation Chunk,136,For real?,진짜야?,For real? That's amazing.,2.0,curated-speaking-core
137,Conversation Chunk,137,What else?,또 뭐가 있어?,What else do we need?,2.0,curated-speaking-core
138,Conversation Chunk,138,Anything else?,또 필요한 거 있어?,Anything else before we finish?,2.0,curated-speaking-core
139,Conversation Chunk,139,Anything new?,새로운 거 있어?,Anything new today?,2.0,curated-speaking-core
140,Conversation Chunk,140,Anything wrong?,문제 있어?,Anything wrong with the system?,2.0,curated-speaking-core
141,Conversation Chunk,141,What's next?,다음은 뭐야?,What's next on the list?,2.0,curated-speaking-core
142,Conversation Chunk,142,What's the problem?,문제가 뭐야?,What's the problem exactly?,2.0,curated-speaking-core
143,Conversation Chunk,143,What's the difference?,차이가 뭐야?,What's the difference between these two?,2.0,curated-speaking-core
144,Conversation Chunk,144,What's the point?,요점이 뭐야?,What's the point of this change?,2.0,curated-speaking-core
145,Conversation Chunk,145,What's the plan?,계획이 뭐야?,What's the plan for tomorrow?,2.0,curated-speaking-core
146,Conversation Chunk,146,What time is it?,몇 시야?,What time is it now?,2.0,curated-speaking-core
147,Conversation Chunk,147,What time should we meet?,몇 시에 만날까?,What time should we meet tomorrow?,2.0,curated-speaking-core
148,Conversation Chunk,148,Where are you?,어디야?,Where are you now?,2.0,curated-speaking-core
149,Conversation Chunk,149,Where should we go?,어디로 갈까?,Where should we go for dinner?,2.0,curated-speaking-core
150,Conversation Chunk,150,How long does it take?,얼마나 걸려?,How long does it take to get there?,2.0,curated-speaking-core
151,Conversation Chunk,151,How much is it?,얼마야?,How much is it?,2.0,curated-speaking-core
152,Conversation Chunk,152,How often do you...?,얼마나 자주 ~해?,How often do you exercise?,2.0,curated-speaking-core
153,Conversation Chunk,153,How come?,왜? / 어째서?,How come you didn't tell me?,2.0,curated-speaking-core
154,Conversation Chunk,154,Why is that?,왜 그래?,Why is that a problem?,2.0,curated-speaking-core
155,Conversation Chunk,155,Why do you think so?,왜 그렇게 생각해?,Why do you think so?,2.0,curated-speaking-core
156,Conversation Chunk,156,How does it work?,어떻게 작동해?,How does this feature work?,2.0,curated-speaking-core
157,Conversation Chunk,157,How did it go?,어땠어?,How did the interview go?,2.0,curated-speaking-core
158,Conversation Chunk,158,How was it?,어땠어?,How was the trip?,2.0,curated-speaking-core
159,Conversation Chunk,159,How was your day?,오늘 하루 어땠어?,How was your day today?,2.0,curated-speaking-core
160,Conversation Chunk,160,How was work?,일 어땠어?,How was work today?,2.0,curated-speaking-core
161,Conversation Chunk,161,What was it like?,어땠어?,What was it like living there?,2.0,curated-speaking-core
162,Conversation Chunk,162,What does that mean?,그게 무슨 뜻이야?,What does that mean in this context?,2.0,curated-speaking-core
163,Conversation Chunk,163,How do you say this in English?,이거 영어로 어떻게 말해?,How do you say this in English?,2.0,curated-speaking-core
164,Conversation Chunk,164,How do you pronounce this?,이거 어떻게 발음해?,How do you pronounce this word?,2.0,curated-speaking-core
165,Conversation Chunk,165,Can you say that again?,다시 말해줄래?,Can you say that again more slowly?,2.0,curated-speaking-core
166,Conversation Chunk,166,Could you repeat that?,다시 말해줄래?,"Could you repeat that, please?",2.0,curated-speaking-core
167,Conversation Chunk,167,Could you speak more slowly?,좀 더 천천히 말해줄래?,Could you speak more slowly?,2.0,curated-speaking-core
168,Conversation Chunk,168,I didn't catch that.,잘 못 들었어.,"Sorry, I didn't catch that.",2.0,curated-speaking-core
169,Conversation Chunk,169,I didn't hear you.,못 들었어.,I didn't hear you. Can you repeat it?,2.0,curated-speaking-core
170,Conversation Chunk,170,I don't understand.,이해가 안 돼.,I don't understand this part.,2.0,curated-speaking-core
171,Conversation Chunk,171,I get it.,알겠어.,"Oh, I get it now.",2.0,curated-speaking-core
172,Conversation Chunk,172,Got it.,알겠어.,Got it. I'll do that.,2.0,curated-speaking-core
173,Conversation Chunk,173,I got it.,알겠어 / 내가 할게.,I got it. Don't worry.,2.0,curated-speaking-core
174,Conversation Chunk,174,I understand.,이해했어.,I understand what you mean.,2.0,curated-speaking-core
175,Conversation Chunk,175,Now I understand.,이제 알겠어.,Now I understand the problem.,2.0,curated-speaking-core
176,Conversation Chunk,176,That helps.,도움이 되네.,That helps a lot.,2.0,curated-speaking-core
177,Conversation Chunk,177,That explains it.,그래서 그랬구나.,That explains it.,2.0,curated-speaking-core
178,Conversation Chunk,178,That reminds me.,그러고 보니 생각났어.,"That reminds me, I need to call him.",2.0,curated-speaking-core
179,Conversation Chunk,179,"Speaking of which,",말 나온 김에,"Speaking of which, did you check the file?",2.0,curated-speaking-core
180,Conversation Chunk,180,"As I said,",내가 말했듯이,"As I said, we need more time.",2.0,curated-speaking-core
181,Conversation Chunk,181,"Like I said,",내가 말했듯이,"Like I said, it's not ready yet.",2.0,curated-speaking-core
182,Conversation Chunk,182,"As you know,",알다시피,"As you know, this is a temporary fix.",2.0,curated-speaking-core
183,Conversation Chunk,183,"As far as I know,",내가 아는 한,"As far as I know, it's still available.",2.0,curated-speaking-core
184,Conversation Chunk,184,"As far as I can tell,",내가 보기엔,"As far as I can tell, everything is fine.",2.0,curated-speaking-core
185,Conversation Chunk,185,"From what I know,",내가 알기로는,"From what I know, this is expected.",2.0,curated-speaking-core
186,Conversation Chunk,186,"From what I can see,",내가 보기에는,"From what I can see, there is no error.",2.0,curated-speaking-core
187,Conversation Chunk,187,"From my point of view,",내 관점에서는,"From my point of view, this is simpler.",2.0,curated-speaking-core
188,Conversation Chunk,188,"In my opinion,",내 생각에는,"In my opinion, we should wait.",2.0,curated-speaking-core
189,Conversation Chunk,189,"Personally,",개인적으로는,"Personally, I prefer the first option.",2.0,curated-speaking-core
190,Conversation Chunk,190,"To be clear,",분명히 말하면,"To be clear, I'm not against the idea.",2.0,curated-speaking-core
191,Conversation Chunk,191,"In other words,",다시 말해,"In other words, we need to start over.",2.0,curated-speaking-core
192,Conversation Chunk,192,"The thing is,",문제는 / 사실은,"The thing is, we don't have enough time.",2.0,curated-speaking-core
193,Conversation Chunk,193,"The problem is,",문제는,"The problem is, the data is missing.",2.0,curated-speaking-core
194,Conversation Chunk,194,"The point is,",요점은,"The point is, we need a decision.",2.0,curated-speaking-core
195,Conversation Chunk,195,"The good thing is,",좋은 점은,"The good thing is, we found the cause.",2.0,curated-speaking-core
196,Conversation Chunk,196,"The bad thing is,",안 좋은 점은,"The bad thing is, we need more time.",2.0,curated-speaking-core
197,Conversation Chunk,197,It turns out...,알고 보니,It turns out the issue was already fixed.,2.0,curated-speaking-core
198,Conversation Chunk,198,It looks good.,좋아 보여.,It looks good to me.,2.0,curated-speaking-core
199,Conversation Chunk,199,It sounds good.,좋아 보여 / 괜찮아 보여.,It sounds good to me.,2.0,curated-speaking-core
200,Conversation Chunk,200,It feels good.,느낌이 좋아.,It feels good to be back.,2.0,curated-speaking-core
201,Conversation Chunk,201,It doesn't look right.,뭔가 이상해 보여.,It doesn't look right.,2.0,curated-speaking-core
202,Conversation Chunk,202,It doesn't sound right.,뭔가 이상하게 들려.,That doesn't sound right.,2.0,curated-speaking-core
203,Conversation Chunk,203,It doesn't feel right.,뭔가 이상해.,It doesn't feel right.,2.0,curated-speaking-core
204,Conversation Chunk,204,It doesn't work.,작동하지 않아.,It doesn't work on my laptop.,2.0,curated-speaking-core
205,Conversation Chunk,205,It works now.,이제 돼.,It works now. Thanks.,2.0,curated-speaking-core
206,Conversation Chunk,206,It should work.,될 거야.,It should work after the update.,2.0,curated-speaking-core
207,Conversation Chunk,207,It might work.,될 수도 있어.,It might work if we restart it.,2.0,curated-speaking-core
208,Conversation Chunk,208,It won't work.,안 될 거야.,It won't work without permission.,2.0,curated-speaking-core
209,Conversation Chunk,209,It can wait.,나중에 해도 돼.,It can wait until tomorrow.,2.0,curated-speaking-core
210,Conversation Chunk,210,It can't wait.,미룰 수 없어.,This can't wait. We need to act now.,2.0,curated-speaking-core
211,Conversation Chunk,211,It's up to you.,네가 정해.,It's up to you which one we use.,2.0,curated-speaking-core
212,Conversation Chunk,212,It's your call.,네 판단이야.,It's your call. I'll support either option.,2.0,curated-speaking-core
213,Conversation Chunk,213,It's worth a try.,해볼 만해.,It's worth a try.,2.0,curated-speaking-core
214,Conversation Chunk,214,It's worth it.,그럴 가치가 있어.,"It's expensive, but it's worth it.",2.0,curated-speaking-core
215,Conversation Chunk,215,It's not worth it.,그럴 가치가 없어.,It's not worth the risk.,2.0,curated-speaking-core
216,Conversation Chunk,216,It's a good idea.,좋은 생각이야.,I think it's a good idea.,2.0,curated-speaking-core
217,Conversation Chunk,217,It's not a bad idea.,나쁘지 않은 생각이야.,It's not a bad idea at all.,2.0,curated-speaking-core
218,Conversation Chunk,218,That's a good point.,좋은 지적이야.,That's a good point. I missed that.,2.0,curated-speaking-core
219,Conversation Chunk,219,You have a point.,일리가 있어.,You have a point there.,2.0,curated-speaking-core
220,Conversation Chunk,220,I agree.,동의해.,I agree with you.,2.0,curated-speaking-core
221,Conversation Chunk,221,I totally agree.,완전 동의해.,I totally agree with that.,2.0,curated-speaking-core
222,Conversation Chunk,222,I disagree.,동의하지 않아.,I disagree with that approach.,2.0,curated-speaking-core
223,Conversation Chunk,223,I don't agree.,동의하지 않아.,I don't agree with the decision.,2.0,curated-speaking-core
224,Conversation Chunk,224,I don't mind.,상관없어.,I don't mind waiting.,2.0,curated-speaking-core
225,Conversation Chunk,225,I don't care.,상관 안 해.,I don't care which one we choose.,2.0,curated-speaking-core
226,Conversation Chunk,226,I prefer this one.,난 이게 더 좋아.,I prefer this one.,2.0,curated-speaking-core
227,Conversation Chunk,227,I'd rather...,차라리 ~할래.,I'd rather stay home.,2.0,curated-speaking-core
228,Conversation Chunk,228,I'd better...,~하는 게 좋겠어.,I'd better get going.,2.0,curated-speaking-core
229,Conversation Chunk,229,You'd better...,~하는 게 좋을 거야.,You'd better check it again.,2.0,curated-speaking-core
230,Conversation Chunk,230,We should...,우리 ~해야 해.,We should test it first.,2.0,curated-speaking-core
231,Conversation Chunk,231,We shouldn't...,우리 ~하지 말아야 해.,We shouldn't rush this.,2.0,curated-speaking-core
232,Conversation Chunk,232,We could...,우리 ~할 수도 있어.,We could try another approach.,2.0,curated-speaking-core
233,Conversation Chunk,233,We can...,우리 ~할 수 있어.,We can handle it tomorrow.,2.0,curated-speaking-core
234,Conversation Chunk,234,We can't...,우리 ~할 수 없어.,We can't change it right now.,2.0,curated-speaking-core
235,Conversation Chunk,235,We have to...,우리 ~해야 해.,We have to finish this today.,2.0,curated-speaking-core
236,Conversation Chunk,236,We don't have to...,우리 ~할 필요 없어.,We don't have to decide now.,2.0,curated-speaking-core
237,Conversation Chunk,237,We need to...,우리 ~해야 해.,We need to verify the data.,2.0,curated-speaking-core
238,Conversation Chunk,238,We don't need to...,우리 ~할 필요 없어.,We don't need to change anything.,2.0,curated-speaking-core
239,Conversation Chunk,239,Let's...,~하자.,Let's start with the basics.,2.0,curated-speaking-core
240,Conversation Chunk,240,Let's not...,~하지 말자.,Let's not overcomplicate it.,2.0,curated-speaking-core
241,Conversation Chunk,241,Let's see.,어디 보자 / 두고 보자.,Let's see what happens.,2.0,curated-speaking-core
242,Conversation Chunk,242,Let's try it.,한번 해보자.,Let's try it in QA first.,2.0,curated-speaking-core
243,Conversation Chunk,243,Let's do it.,하자.,"Okay, let's do it.",2.0,curated-speaking-core
244,Conversation Chunk,244,Let's go.,가자.,Let's go before it gets crowded.,2.0,curated-speaking-core
245,Conversation Chunk,245,Let's get started.,시작하자.,Let's get started.,2.0,curated-speaking-core
246,Conversation Chunk,246,Let's move on.,다음으로 넘어가자.,Let's move on to the next topic.,2.0,curated-speaking-core
247,Conversation Chunk,247,Let's take a look.,한번 보자.,Let's take a look at the logs.,2.0,curated-speaking-core
248,Conversation Chunk,248,Let's check.,확인해보자.,Let's check the configuration.,2.0,curated-speaking-core
249,Conversation Chunk,249,Let's find out.,알아보자.,Let's find out what caused it.,2.0,curated-speaking-core
250,Conversation Chunk,250,Let's figure it out.,해결해보자.,Let's figure it out together.,2.0,curated-speaking-core
251,Conversation Chunk,251,Let me check.,내가 확인해볼게.,Let me check the status.,2.0,curated-speaking-core
252,Conversation Chunk,252,Let me see.,내가 볼게 / 어디 보자.,Let me see what I can do.,2.0,curated-speaking-core
253,Conversation Chunk,253,Let me know what you think.,어떻게 생각하는지 알려줘.,Let me know what you think about this.,2.0,curated-speaking-core
254,Conversation Chunk,254,Let me explain.,설명할게.,Let me explain how it works.,2.0,curated-speaking-core
255,Conversation Chunk,255,Let me show you.,보여줄게.,Let me show you an example.,2.0,curated-speaking-core
256,Conversation Chunk,256,Let me try.,내가 해볼게.,Let me try one more time.,2.0,curated-speaking-core
257,Conversation Chunk,257,Let me help.,내가 도와줄게.,Let me help you with that.,2.0,curated-speaking-core
258,Conversation Chunk,258,Can I help?,도와줄까?,Can I help with anything?,2.0,curated-speaking-core
259,Conversation Chunk,259,Do you need help?,도움 필요해?,Do you need help with that?,2.0,curated-speaking-core
260,Conversation Chunk,260,Could you help me?,도와줄래?,Could you help me with this?,2.0,curated-speaking-core
261,Conversation Chunk,261,Can you give me a hand?,좀 도와줄래?,Can you give me a hand with this?,2.0,curated-speaking-core
262,Conversation Chunk,262,Can you show me?,보여줄래?,Can you show me how it works?,2.0,curated-speaking-core
263,Conversation Chunk,263,Can you explain?,설명해줄래?,Can you explain this part?,2.0,curated-speaking-core
264,Conversation Chunk,264,Can you check?,확인해줄래?,Can you check the latest status?,2.0,curated-speaking-core
265,Conversation Chunk,265,Can you confirm?,확인해줄래?,Can you confirm whether this is correct?,2.0,curated-speaking-core
